ASC_Name,Provider_ID,NPI,City,State,ZIP_Code,ASC6_SSChecklist,ASC_7_Volume,ASC_7_Gastrointestinal,ASC_7_Eye,ASC_7_Nervous_System,ASC_7_Musculoskeletal,ASC_7_Skin,ASC_7_Genitourinary,ASC7_Footnote,ASC_6_7_Encounter_Start_Date,ASC_6_7_Encounter_End_Date
Southern Alabama Surgery Center,01C0001010,1346349164,Dothan,AL,36301,YES,12774,0,12663,0,50,61,0,,01/01/2012,12/31/2012
The Surgery Center,01C0001035,1356321293,Oxford,AL,36203,YES,9049,1285,1249,5541,833,51,90,,01/01/2012,12/31/2012
"Madison Surgery Center, LLC",01C0001044,1356369755,Madison,AL,35758,YES,4279,2036,180,1932,110,15,6,,01/01/2012,12/31/2012
Montgomery Surgical Center,01C0001000,1376634683,Montgomery,AL,36093,YES,5986,1796,1831,968,1233,158,0,,01/01/2012,12/31/2012
Decatur Ambulatory Surgery Center,01C0001018,1386782787,Decatur,AL,35603,YES,4418,2743,1220,0,381,74,0,,01/01/2012,12/31/2012
Montgomery Eye Surgery Center,01C0001026,1457331274,Montgomery,AL,36106,YES,3855,0,3743,0,0,112,0,,01/01/2012,12/31/2012
Shelby Baptist Ambulatory Surgery Center LLC,01C0001046,1538117841,Alabaster,AL,35007,YES,7859,5078,1265,1139,171,48,158,,01/01/2012,12/31/2012
"Alabama Digestive Health and Endoscopy Center, LLC",01C0001051,1588854772,Birmingham,AL,35209,YES,8112,8112,0,0,0,0,0,,01/01/2012,12/31/2012
Surgery Center of Cullman,01C0001048,1669481255,Cullman,AL,35055,YES,4720,3067,680,522,436,15,0,,01/01/2012,12/31/2012
Tuscaloosa Surgical Center,01C0001017,1679544050,Tuscaloosa,AL,35406,YES,5932,2142,838,1807,1058,87,0,,01/01/2012,12/31/2012
Vision Correction Center,01C0001041,1689735250,Tuscaloosa,AL,35406,YES,1679,0,1679,0,0,0,0,,01/01/2012,12/31/2012
Dauphin West Surgery Center,01C0001021,1700884608,Mobile,AL,36608,YES,7074,1267,3514,123,2046,124,0,,01/01/2012,12/31/2012
Surgicare of Mobile,01C0001009,1720044522,Mobile,AL,36606,YES,7999,813,5176,1294,115,587,14,,01/01/2012,12/31/2012
Gardendale Surgical Associates,01C0001054,1730318353,Gardendale,AL,35071,YES,2362,1515,256,396,195,0,0,,01/01/2012,12/31/2012
The Orthopaedic Center at Spring Hill,01C0001042,1740288679,Mobile,AL,36608,YES,9775,0,0,6295,2997,480,3,,01/01/2012,12/31/2012
"Medplex Outpatient Surgery Center, LTD",01C0001020,1750499950,Birmingham,AL,35244,YES,5450,0,2,4684,742,22,0,,01/01/2012,12/31/2012
Mobile Surgery Center,01C0001002,1760447866,Mobile,AL,36608,YES,17919,2,1818,10228,5369,429,73,,01/01/2012,12/31/2012
The Birmingham Surgery Center,01C0001027,1790756237,Birmingham,AL,35209,YES,11984,6538,1908,1693,1798,45,2,,01/01/2012,12/31/2012
The Surgery Center of Huntsville,01C0001013,1841342789,Huntsville,AL,35801,YES,21514,3369,4398,6505,6254,948,40,,01/01/2012,12/31/2012
Bay Eyes Surgery Center,01C0001045,1881618403,Fairhope,AL,36532,YES,405,0,405,0,0,0,0,,01/01/2012,12/31/2012
Outpatient Services East,01C0001014,1932298718,Birmingham,AL,35235,YES,18134,11185,1451,4657,618,26,197,,01/01/2012,12/31/2012
Gadsden Surgery Center,01C0001011,1962467951,Gadsden,AL,35901,YES,6006,1153,951,2087,1315,475,25,,01/01/2012,12/31/2012
"Surgery Center of Decatur, LP",01C0001043,1962513788,Decatur,AL,35601,YES,5819,4680,0,488,631,19,1,,01/01/2012,12/31/2012
"Florence Surgery Center, LP",01C0001022,1972568830,Florence,AL,35630,YES,5456,526,2125,1544,1242,18,1,,01/01/2012,12/31/2012
St. Vincent's Outpatient Surgery Center,01C0001055,1972805299,Birmingham,AL,35202,YES,263,7,97,0,53,106,0,,01/01/2012,12/31/2012
Physicians Day Surgery Center,04C0001010,1023057916,Pine Bluff,AR,71603,YES,2282,0,2182,0,0,100,0,,01/01/2012,12/31/2012
Lowery Surgery Center,04C0001009,1043208283,Searcy,AR,72143,YES,484,0,472,0,0,12,0,,01/01/2012,12/31/2012
Baker Ambulatory Surgery Center,04C0001047,1053301473,Conway,AR,72032,YES,1275,0,1275,0,0,0,0,,01/01/2012,12/31/2012
"Endoscopy Center of Arkansas, LLC",04C0001060,1063470730,Little Rock,AR,72207,YES,7653,7653,0,0,0,0,0,,01/01/2012,12/31/2012
"Surgery By Vold Vision, LLC",04C0001084,1073888103,Fayetteville,AR,72704,YES,0,0,0,0,0,0,0,,01/01/2012,12/31/2012
"Aoc Surgery Center, Inc.",04C0001002,1093795031,Little Rock,AR,72205,YES,3,0,0,0,0,3,0,,01/01/2012,12/31/2012
"Orthoarkansas Surgery Center, LLC",04C0001045,1093799405,Little Rock,AR,72205,YES,4694,0,0,3431,1248,15,0,,01/01/2012,12/31/2012
"Doctors Surgery Center, P.A.",04C0001020,1114951365,West Memphis,AR,72301,YES,971,0,962,0,0,9,0,,01/01/2012,12/31/2012
Spring Creek Surgery Center,04C0001054,1134177256,Hot Springs,AR,71901,YES,770,0,0,0,0,770,0,,01/01/2012,12/31/2012
"Mountain Home Surgery Center, Inc.",04C0001017,1205978780,Mountain Hom,AR,72653,YES,1975,0,1485,0,490,0,0,,01/01/2012,12/31/2012
Cooper Clinic,04C0001028,1215024575,Ft. Smith,AR,72913,YES,7695,7455,240,0,0,0,0,,01/01/2012,12/31/2012
"The Gastro-Intestinal Center, Inc.",04C0001013,1215919329,Little Rock,AR,72205,YES,6769,6769,0,0,0,0,0,,01/01/2012,12/31/2012
"The Surgical Pavilion, LLC",04C0001043,1245297829,Little Rock,AR,72205,YES,896,0,9,0,102,785,0,,01/01/2012,12/31/2012
North River Surgery Center,04C0001035,1265404669,Sherwood,AR,72120,YES,2762,2176,586,0,0,0,0,,01/01/2012,12/31/2012
Conway Endoscopy Center,04C0001049,1265439632,Conway,AR,72034,YES,1653,1653,0,0,0,0,0,,01/01/2012,12/31/2012
"Pine Bluff Endoscopy Center, LLC",04C0001066,1275541427,Pine Bluff,AR,71603,YES,1842,1842,0,0,0,0,0,,01/01/2012,12/31/2012
Doctors Surgery Center of Texarkana,04C0001030,1275574154,Texarkana,AR,71854,YES,866,0,866,0,0,0,0,,01/01/2012,12/31/2012
"Physicians Surgery Center, LLC",04C0001058,1295851137,Blytheville,AR,72315,YES,631,0,629,0,0,2,0,,01/01/2012,12/31/2012
Advanced Ambulatory Surgery Center,04C0001080,1326228370,Fayetteville,AR,72703,YES,168,0,0,0,0,168,0,,01/01/2012,12/31/2012
Arkansas Outpatient Eye Surgery LLC,04C0001068,1386737021,Fayetteville,AR,72703,YES,2441,0,2270,0,171,0,0,,01/01/2012,12/31/2012
Endoscopy Center of Little Rock,04C0001056,1396727418,Little Rock,AR,72212,YES,3480,3480,0,0,0,0,0,,01/01/2012,12/31/2012
Arkansas Specialty Orthopaedic Center,04C0001040,1437110293,Little Rock,AR,72205,YES,8260,0,0,0,8260,0,0,,01/01/2012,12/31/2012
Conway Outpatient Surgery Center,04C0001034,1447212204,Conway,AR,72032,YES,1427,1427,0,0,0,0,0,,01/01/2012,12/31/2012
"Jonesboro Surgery Center, LLC",04C0001048,1457379364,Jonesboro,AR,72401,YES,1705,0,1064,0,641,0,0,,01/01/2012,12/31/2012
"Seymour Operations, LLC",04C0001072,1487776365,Little Rock,AR,72205,YES,5530,0,5527,0,0,3,0,,01/01/2012,12/31/2012
"The Pain Centers, LLC",04C0001000,1578643607,Jonesboro,AR,72401,YES,2218,0,0,2218,0,0,0,,01/01/2012,12/31/2012
Physicians Day Surgery Center,04C0001055,1588603351,Little Rock,AR,72223,YES,2307,0,2173,0,0,134,0,,01/01/2012,12/31/2012
"South Central Endoscopy, LLC",04C0001081,1588802987,Hot Springs,AR,71901,YES,4139,4139,0,0,0,0,0,,01/01/2012,12/31/2012
"Executive Park Surgery Center of Fort Smith, Inc.",04C0001059,1598068306,Fort Smith,AR,72903,YES,1609,0,1609,0,0,0,0,,01/01/2012,12/31/2012
Outpatient Surgery Center of Jonesboro,04C0001053,1598758153,Jonesboro,AR,72401,YES,10280,7311,234,295,1437,731,272,,01/01/2012,12/31/2012
South Arkansas Surgery Center,04C0001075,1619037066,El Dorado,AR,71730,YES,3758,1551,1096,166,940,5,0,,01/01/2012,12/31/2012
Little Rock Surgery Center,04C0001006,1659340404,Little Rock,AR,72205,YES,2452,33,21,1728,662,8,0,,01/01/2012,12/31/2012
Arkansas Gastroenterology,04C0001033,1669424339,Hot Springs,AR,71913,YES,3203,3203,0,0,0,0,0,,01/01/2012,12/31/2012
Surgery Partners of Jonesboro,04C0001012,1710931134,Jonesboro,AR,72401,YES,4002,0,4002,0,0,0,0,,01/01/2012,12/31/2012
Jefferson Surgery Center,04C0001038,1710934542,Pine Bluff,AR,71603,YES,1013,5,43,80,283,9,593,,01/01/2012,12/31/2012
"Outpatient Surgery Center, Inc.",04C0001070,1730132853,Mountain Hom,AR,72653,YES,708,0,668,0,0,40,0,,01/01/2012,12/31/2012
Little Rock Diagnostic Clinic ASC,04C0001022,1760418891,Little Rock,AR,72205,YES,8051,8051,0,0,0,0,0,,01/01/2012,12/31/2012
Boozmanhof Eye Surgery and Laser Center,04C0001029,1780658245,Rogers,AR,72756,YES,2719,0,2537,0,0,182,0,,01/01/2012,12/31/2012
"Springhill Surgery Center, LLC",04C0001044,1790742328,North Little,AR,72117,YES,10294,7963,692,957,647,30,5,,01/01/2012,12/31/2012
"Mercy Outpatient Surgery Center, LLC",04C0001046,1831182641,Ft. Smith,AR,72917,YES,2086,99,816,161,818,192,0,,01/01/2012,12/31/2012
"Vision Group ASC, LLC",04C0001065,1902860679,Ft. Smith,AR,72901,YES,2209,0,2209,0,0,0,0,,01/01/2012,12/31/2012
Digestive Disease Center,04C0001031,1922016898,Pine Bluff,AR,71613,YES,500,500,0,0,0,0,0,,01/01/2012,12/31/2012
"The Fayetteville ASC, LLC",04C0001019,1922070911,Fayetteville,AR,72703,YES,5990,5990,0,0,0,0,0,,01/01/2012,12/31/2012
North Hills Surgery Center,04C0001041,1922187103,Fayetteville,AR,72703,YES,3988,1022,1780,248,908,12,18,,01/01/2012,12/31/2012
